21/09/2013 03:09:00.287] - [INFO] - [id: 0x8b3e2318] OPEN
21/09/2013 03:09:00.299] - [INFO] - [id: 0x8b3e2318, /127.0.0.1:2525 => localhost/127.0.0.1:19999] BOUND: /127.0.0.1:2525
21/09/2013 03:09:00.301] - [INFO] - [id: 0x8b3e2318, /127.0.0.1:2525 => localhost/127.0.0.1:19999] CONNECTED: localhost/127.0.0.1:19999
21/09/2013 03:09:00.795] - [INFO] - message sent: took 9,743,776
21/09/2013 03:09:01.175] - [INFO] - message sent: took 12,388,606
21/09/2013 03:09:01.564] - [INFO] - message sent: took 6,217,198
21/09/2013 03:09:01.930] - [INFO] - message sent: took 15,456,482
21/09/2013 03:09:02.288] - [INFO] - message sent: took 10,331,740
21/09/2013 03:09:02.634] - [INFO] - message sent: took 2,277,303
21/09/2013 03:09:02.980] - [INFO] - message sent: took 1,868,847
21/09/2013 03:09:03.326] - [INFO] - message sent: took 1,902,479
21/09/2013 03:09:03.674] - [INFO] - message sent: took 1,680,017
21/09/2013 03:09:04.021] - [INFO] - message sent: took 1,714,865
21/09/2013 03:09:04.368] - [INFO] - message sent: took 2,062,539
21/09/2013 03:09:04.714] - [INFO] - message sent: took 2,641,995
21/09/2013 03:09:05.066] - [INFO] - message sent: took 1,701,089
21/09/2013 03:09:05.412] - [INFO] - message sent: took 1,759,439
21/09/2013 03:09:05.761] - [INFO] - message sent: took 2,363,207
21/09/2013 03:09:06.107] - [INFO] - message sent: took 1,650,031
21/09/2013 03:09:06.457] - [INFO] - message sent: took 3,873,846
21/09/2013 03:09:06.802] - [INFO] - message sent: took 1,352,199
21/09/2013 03:09:07.149] - [INFO] - message sent: took 3,092,998
21/09/2013 03:09:07.494] - [INFO] - message sent: took 1,352,199
21/09/2013 03:09:07.841] - [INFO] - message sent: took 2,182,888
21/09/2013 03:09:08.185] - [INFO] - message sent: took 1,181,604
21/09/2013 03:09:08.533] - [INFO] - message sent: took 2,307,694
21/09/2013 03:09:08.879] - [INFO] - message sent: took 1,812,927
21/09/2013 03:09:09.228] - [INFO] - message sent: took 1,643,953
21/09/2013 03:09:09.576] - [INFO] - message sent: took 2,091,714
21/09/2013 03:09:09.923] - [INFO] - message sent: took 1,821,031
21/09/2013 03:09:10.267] - [INFO] - message sent: took 2,292,296
21/09/2013 03:09:10.613] - [INFO] - message sent: took 1,609,510
21/09/2013 03:09:10.958] - [INFO] - message sent: took 2,216,926
21/09/2013 03:09:11.303] - [INFO] - message sent: took 1,796,719
21/09/2013 03:09:11.647] - [INFO] - message sent: took 2,304,857
21/09/2013 03:09:11.992] - [INFO] - message sent: took 1,797,934
21/09/2013 03:09:12.337] - [INFO] - message sent: took 2,577,566
21/09/2013 03:09:12.683] - [INFO] - message sent: took 1,795,909
21/09/2013 03:09:13.028] - [INFO] - message sent: took 2,080,774
21/09/2013 03:09:13.376] - [INFO] - message sent: took 1,874,115
